LOINC_NUM,COMPONENT
100121-3,Chlamydia trachomatis Ab.IgA
100122-1,Chlamydophila pneumoniae Ab panel
10012-3,R' wave amplitude.lead AVR
100123-9,Chlamydophila pneumoniae Ab.IgA
100124-7,Chlamydophila pneumoniae Ab.IgA
100125-4,Chlamydophila psittaci Ab panel
100126-2,Bordetella pertussis Ab.IgG panel
100127-0,Campylobacter sp Ab panel
100128-8,Cryptococcus sp Ag panel
100129-6,Schistosoma sp Ab
100130-4,Schistosoma mansoni Ab
10013-1,R' wave amplitude.lead I
100131-2,Schistosoma sp 8kD Ab
100132-0,Schistosoma sp 9kD Ab
100133-8,Schistosoma sp 10kD Ab
100134-6,Schistosoma sp 11kD Ab
100135-3,Schistosoma sp 12-13kD Ab
100136-1,Schistosoma sp 14-15kD Ab
100137-9,Schistosoma sp 15-16kD Ab
100138-7,Schistosoma sp 18-19kD Ab
100139-5,Schistosoma sp 22-24kD Ab
100140-3,Schistosoma sp 30-34kD Ab
100141-1,Schistosoma sp 65kD Ab
100142-9,Schistosoma sp 70kD Ab
100143-7,Schistosoma sp 80kD Ab
100144-5,Schistosoma sp 95kD Ab
100145-2,Schistosoma sp 110kD Ab
100146-0,Schistosoma sp 120kD Ab
100147-8,Toxoplasma gondii Ab bands panel
100148-6,Schistosoma sp Ab bands panel
10014-9,R' wave amplitude.lead II
100149-4,6-oxo-piperidine-2-carboxylate & 6(R+S)-oxo-propylpiperidine-2-carboxylate panel
100150-2,6(R+S)-oxo-propylpiperidine-2-carboxylate
100151-0,6-oxo-piperidine-2-carboxylate
100152-8,6-oxo-piperidine-2-carboxylate/Creatinine
100153-6,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine
100154-4,Collection supervision level
100155-1,Analysis method
10015-6,R' wave amplitude.lead III
100156-9,SARS coronavirus 2 variant
100157-7,SARS coronavirus 2 lineage
100158-5,Albumin
100159-3,Knee Society Score pre-op panel
100160-1,Knee replacement
100161-9,Charnley Functional Classification
100162-7,Alignment^W standing
100163-5,Medial &or lateral instability^W full extension
10016-4,R' wave amplitude.lead V1
100164-3,Anterior-posterior instability^W 90 degree flexion
100165-0,Range of motion
100166-8,Flexion contracture range
100167-6,Extensor lag range
100168-4,Knee pain severity with level walking
100169-2,Knee pain severity with stairs or inclines
1001-7,DBG Ab
100170-0,Knee feels normal
100171-8,Satisfaction with level of knee pain while sitting
10017-2,R' wave amplitude.lead V2
100172-6,Satisfaction with level of knee pain while lying in bed
100173-4,Satisfaction with knee function while getting out of bed
100174-2,Satisfaction with knee function while performing light household duties
100175-9,Satisfaction with knee function while performing recreational activities
100176-7,Expect surgery to relieve pain
100177-5,Expect surgery will improve ability to perform activities of daily living
100178-3,"Expect surgery will improve ability to perform leisure, recreational, or sports activities"
100179-1,Walk without assistive mobility devices
10018-0,R' wave amplitude.lead V3
100180-9,Assistive mobility devices used
100181-7,Assistive mobility devices used due to health condition
100182-5,Duration of standing before sitting due to knee discomfort
100183-3,Duration of walking before stopping due to knee discomfort
100184-1,How bothersome is knee when walking on an uneven surface
100185-8,How bothersome is knee when turning or pivoting leg
100186-6,How bothersome is knee when climbing up or down a flight of stairs
100187-4,How bothersome is knee when getting up from a low seat without armrests
100188-2,How bothersome is knee when getting into or out of a car
100189-0,How bothersome is knee when moving laterally
100190-8,How bothersome is knee when climbing a ladder or step stool
100191-6,How bothersome is knee when carrying a bag for one block
100192-4,How bothersome is knee when squatting
100193-2,How bothersome is knee when kneeling
100194-0,How bothersome is knee when running
100195-7,Pain severity^during activity
100196-5,Pre-op total score
100197-3,Exercise activity & pain severity panel
10019-8,R' wave amplitude.lead V4
100198-1,Pre-op objective knee indicators score
100199-9,Pre-op symptoms score
100200-5,Pre-op patient expectations score
100201-3,Pre-op functional activities score
100202-1,Pre-op discretionary knee activities score
100203-9,Knee Society Score post-op panel
100204-7,Accuracy of pre-surgery expectations of pain relief
100205-4,Accuracy of pre-surgery expectations to perform activities of daily living
10020-6,R' wave amplitude.lead V5
100206-2,"Accuracy of pre-surgery expectations to perform leisure, recreational, or sports activities"
100207-0,Post-op total score
100208-8,Post-op objective knee indicators score
100209-6,Post-op symptoms score
100210-4,Post-op patient expectations score
100211-2,Post-op functional activities score
100212-0,Post-op discretionary knee activities score
100213-8,Prostate cancer multigene analysis
10021-4,R' wave amplitude.lead V6
100214-6,Dental model prior authorization
100215-3,Episode of care medical records
100216-1,Synoptic report
100217-9,Synoptic report
100218-7,Synoptic report
100219-5,Synoptic report
100220-3,Synoptic report
100221-1,Synoptic report
10022-2,R' wave duration.lead AVF
100222-9,Synoptic report
100223-7,Physical findings
100224-5,Segmental wall motion panel
100225-2,Bone density quantitative ultrasound study
100226-0,Small bowel capsule endoscopy study
100227-8,Colon capsule endoscopy study
100228-6,Upper gastrointestinal capsule endoscopy study
100229-4,Endoscopic ultrasound study
10023-0,R' wave duration.lead AVL
100230-2,Routine prenatal assessment panel
100231-0,Bronchial endoscopic ultrasound study
100232-8,Impacts of Events Scale-Revised panel
100233-6,Reminders brought back feelings about adverse event
100234-4,Trouble staying asleep
100235-1,Other things triggered persistent thoughts about adverse event
100236-9,Felt irritable &or angry
100237-7,Avoided getting upset when unintentionally thought about adverse event
100238-5,Thought about adverse event unintentionally
100239-3,Felt as if adverse event did not happen
100240-1,Avoided reminders of adverse event
100241-9,Experienced mental images of adverse event
100242-7,Easily startled
100243-5,Tried to not think of adverse event
100244-3,"Aware of feelings about adverse event, but did not address them"
100245-0,Feelings about adverse event were numb
100246-8,Acted or felt the same as during adverse event
100247-6,Trouble falling asleep
10024-8,R' wave duration.lead AVR
100248-4,Waves of strong feelings about adverse event
100249-2,Tried to remove adverse event from memory
1002-5,DBG Ab
100250-0,Trouble concentrating
100251-8,Reminders of adverse event caused physical reactions
100252-6,Had dreams about adverse event
100253-4,Felt watchful and on-guard
100254-2,Tried not to talk about adverse event
10025-5,R' wave duration.lead I
100255-9,Total Score
100256-7,Fallen in last 6Mo
100257-5,Feel unsteady when standing or walking
100258-3,History of fall related injury
100259-1,Aware of tactile sensations
100260-9,Easy to describe thoughts &or feelings
100261-7,Critical of own thoughts &or feelings
100262-5,Able to notice distressing thoughts &or feelings without having to react
10026-3,R' wave duration.lead II
100263-3,Easily distracted
100264-1,Able to notice thoughts &or feelings without being overwhelmed
100265-8,Aware of dietary intake impact on self
100266-6,Difficult to describe thoughts &or feelings
100267-4,Aware of auditory stimuli
100268-2,Able to avoid immediate reaction in difficult situations
100269-0,Do things without paying attention
100270-8,Recover quickly from distressing thoughts &or images
10027-1,R' wave duration.lead III
100271-6,Aware of olfactory stimuli
100272-4,Aware of visual stimuli
100273-2,Aware of emotions affect on thoughts &or behavior
100274-0,Observing score
100275-7,Describing score
100276-5,Acting with awareness score
100277-3,Nonjudging score
100278-1,Nonreactivity score
100279-9,Total score
100280-7,Five Facet Mindfulness Questionnaire panel
100281-5,D Ab
100282-3,Vaccine exemption certificate
100283-1,Harris Hip Score panel
100284-9,Walking - functional ability
100285-6,Comfortable seated position
100286-4,Able to board public transportation
100287-2,Put on shoes and socks
100288-0,Absence of deformity score
10028-9,R' wave duration.lead V1
100289-8,Absence of hip deformity measurements
100290-6,Range of motion score
100291-4,Total Score
100292-2,Pre-op patient satisfaction score
100293-0,Flexion range of motion
100294-8,Abduction range of motion
100295-5,Adduction range of motion
100296-3,External rotation range of motion
10029-7,R' wave duration.lead V2
100297-1,Internal rotation range of motion
100298-9,Repetition count
100299-7,Post-op patient satisfaction score
100300-3,End time
100301-1,Start time
100302-9,Time period start & end panel
100303-7,Condition certainty of presence
100304-5,Flights climbed
10030-5,R' wave duration.lead V3
100305-2,IDH1 gene exon 4 targeted mutation analysis
100306-0,IDH2 gene exon 4 targeted mutation analysis
100307-8,Behavioral screening elder mistreatment
100308-6,Need help getting to essential places
100309-4,Activity support person
100310-2,Reliability of support person
100311-0,"Need help to make sure there is enough food, medicines or any other things needed in house"
100312-8,"Person or persons that makes sure there is enough food, medicines or any other things needed in house"
10031-3,R' wave duration.lead V4
100313-6,"Need help with household things such as cook meals, help feed, or provide correct medicines each day"
100314-4,Need help with house cleaning or yard work
100315-1,"Need help getting out of bed, showered, or dressed"
100316-9,Need help to make sure bills get paid
100317-7,Relationship of usual support person for daily activities
100318-5,Have help with finances &or financial decisions
100319-3,Relationship of financial support person
100320-1,Financial support person usually asks for permission before making decisions
10032-1,R' wave duration.lead V5
100321-9,Financial support person usually makes good decisions about finances
100322-7,Have access to paperwork for financial decisions made
100323-5,Financial support person forged signature
100324-3,Coercion of financial support person for signing a document in order to get money or possessions
100325-0,Experienced theft by support person
100326-8,Money spent or property sold without permission
100327-6,Stranger forged signature for financial gain
100328-4,Stranger forced document signature for financial gain
100329-2,Feared for safety due to verbal attack
1003-3,Indirect antiglobulin test.complement specific reagent
100330-0,Felt humiliated due to ridicule
100331-8,Coerced to do something
100332-6,Ignored by close friend or relative for extended period
100333-4,Physically hit or threatened
100334-2,Been physically hurt with some degree of injury
100335-9,Coerced sexual activity
100336-7,Coerced touching of private body parts of self or others
100337-5,Coerced to undress or expose private body area
100338-3,Photographed in any degree of nudity without consent
10033-9,R' wave duration.lead V6
100339-1,Experienced attempted physical restraint
100340-9,Range of motion panel
100341-7,Rubella virus Ab.IgG index
100342-5,Volatile Organic Compounds associated with SARS-CoV-2 infection
100343-3,Influenza virus B RNA
100344-1,Influenza virus A RNA
100345-8,Influenza virus A & Influenza virus B & SARS coronavirus 2 RNA panel
100346-6,Clotting time.extrinsic coagulation system activated.platelets inhibited
10034-7,S wave amplitude.lead AVF
100347-4,Clot formation.extrinsic coagulation system activated.platelets inhibited
100348-2,Model for end-stage liver disease sodium score
100349-0,Multisection^W vasodilator IV
100350-8,Sesamum indicum 1 Ab.IgE
100351-6,Pioglitazone
100352-4,Rosiglitazone
100353-2,Norwalk Community Health Center Screening Tool
10035-4,S wave amplitude.lead AVL
100354-0,Frequency of participating in multi-modal communication without assistance
100355-7,Frequency of participating in spoken language expression communication without assistance
100356-5,Chlamydia trachomatis & Neisseria gonorrhoeae & Trichomonas vaginalis DNA
100357-3,Naloxone
100358-1,Phentermine
100359-9,Gliadin 33 mer peptide
100360-7,Brief Resilience Scale panel
100361-5,Quickly recover from bad events
10036-2,S wave amplitude.lead AVR
100362-3,Difficulty making it through stressful events
100363-1,Easily recover from a stressful event
100364-9,Difficulty recovering from bad events
100365-6,Easily recover from difficulties
100366-4,Lengthy recovery from setbacks
100367-2,Total Score
100368-0,Amino Acids Urea Cycle Panel
100369-8,Views^W Tl-201 IV
10037-0,S wave amplitude.lead I
100370-6,Orthopoxvirus DNA
100371-4,Titin Ab
100372-2,Abiraterone
100373-0,Eucheuma Ab.IgG
100374-8,Aloe vera Ab.IgG
100375-5,Pimpinella anisum Ab.IgG
100376-3,Bambusa vulgaris Ab.IgG
100377-1,Goat cheese Ab.IgG
100378-9,Sheep cheese Ab.IgG
100379-7,Allium ampeloprasum Ab.IgG
100380-5,Brassica rubra Ab.IgG
100381-3,Mentha balsamea Wild Ab.IgG
100382-1,REMS addressed risk
100383-9,Monkeypox virus DNA
100384-7,Brassica rapa Ab.IgG
100385-4,Valerianella locusta Ab.IgG
100386-2,Rosmarinus officinalis Ab.IgG
100387-0,Papaver somniferum Ab.IgG
10038-8,S wave amplitude.lead II
100388-8,Theobroma cacao Ab.IgG
100389-6,Pistacia vera Ab.IgG
100390-4,Helianthus annuus seed Ab.IgG
100391-2,Phoenix dactylifera Ab.IgG
100392-0,Duck meat Ab.IgG
100393-8,"Allergen Mushroom mix 2 (Xerocomus, Boletus) Ab.IgG"
100394-6,Astacoidea Ab.IgG
100395-3,Ceratonia siliqua Ab.IgG
10039-6,S wave amplitude.lead III
100396-1,Brassica napus Ab.IgG
100397-9,Capra aegagrus hircus Ab.IgG
100398-7,Goose meat Ab.IgG
100399-5,Ostrich meat Ab.IgG
100400-1,Quail meat Ab.IgG
100401-9,Rabbit meat Ab.IgG
100402-7,Venison meat Ab.IgG
100403-5,Guineafowl Ab.IgG
10040-4,S wave amplitude.lead V1
100404-3,Horse meat Ab.IgG
100405-0,Kefir Ab.IgG
100406-8,Butter Ab.IgG
100407-6,Camembert cheese Ab.IgG
100408-4,Emmental cheese Ab.IgG
100409-2,Processed cheese Ab.IgG
1004-1,Direct antiglobulin test.complement specific reagent
100410-0,Curd cheese Ab.IgG
100411-8,Beta vulgaris Ab.IgG
10041-2,S wave amplitude.lead V2
100412-6,Chinese cabbage Ab.IgG
100413-4,Foeniculum vulgare fresh Ab.IgG
100414-2,Cucurbitaceae genera Ab.IgG
100415-9,Brassica oleracea var borecole Ab.IgG
100416-7,Brassica oleracea var. Sabauda Ab.IgG
100417-5,Vitis sp leaf Ab.IgG
100418-3,Glycyrrhiza glabra Ab.IgG
100419-1,Pisum sativum var. saccharatum Ab.IgG
10042-0,S wave amplitude.lead V3
100420-9,Vicia faba Ab.IgG
100421-7,Cicer arietinus Ab.IgG
100422-5,Cichorium intybus Ab.IgG
100423-3,(Agaricus bisporus+Pleurotus ostreatus+Lentinula edodes+Cantharellus) Ab.IgG
100424-1,8(9)-Cholestenol
100425-8,DiHydro T-Mas
100426-6,Squalene
100427-4,Stigmasterol
100428-2,Carnitine Free & Total & Acylcarnitine Panel
100429-0,Lipopolysaccharide-responsive beige-like anchor protein deficiency panel
100430-8,Cells.LRBA+/100 Cells.CD3+CD14-CD45+
100431-6,Cells.CD3+CD14-CD45+.LRBA mean fluorescence intensity
100432-4,Cells.LRBA+/100 Cells.CD3-CD14-CD19+CD45+
100433-2,Cells.CD3-CD14-CD19+CD45+.LRBA mean fluorescence intensity
100434-0,Orthopoxvirus.non-variola DNA
100435-7,Glial fibrillary acidic protein
100436-5,Ubiquitin carboxyl-terminal hydrolase-L1
100437-3,Norsufentanil
10043-8,S wave amplitude.lead V4
100438-1,Progress note
100439-9,Progress note
100440-7,Progress note
100441-5,Progress note
100442-3,Progress note
100443-1,Progress note
100444-9,Progress note
100445-6,Progress note
10044-6,S wave amplitude.lead V5
100446-4,Progress note
100447-2,Progress note
100448-0,Progress note
100449-8,Progress note
100450-6,Progress note
100451-4,Progress note
100452-2,Progress note
10045-3,S wave amplitude.lead V6
100453-0,Progress note
100454-8,Progress note
100455-5,Progress note
100456-3,Progress note
100457-1,Progress note
100458-9,COVID-19+Intubation+Progress note
100459-7,COVID-19+Progress note
100460-5,Progress note
10046-1,S wave duration.lead AVF
100461-3,Progress note
100462-1,Progress note
100463-9,Progress note
100464-7,Progress note
100465-4,Progress note
100466-2,Progress note
100467-0,Progress note
100468-8,Progress note
100469-6,Progress note
100470-4,Progress note
100471-2,Progress note
100472-0,Progress note
100473-8,Progress note
100474-6,Progress note
100475-3,Progress note
100476-1,Progress note
100477-9,Progress note
100478-7,Progress note
10047-9,S wave duration.lead AVL
100479-5,Progress note
100480-3,Progress note
100481-1,Mechanical circulatory support+progress note
100482-9,Progress note
100483-7,Progress note
100484-5,Progress note
100485-2,Progress note
100486-0,Progress note
10048-7,S wave duration.lead AVR
100487-8,Progress note
100488-6,Progress note
100489-4,Progress note
100490-2,Progress note
100491-0,Progress note
100492-8,Progress note
100493-6,Progress note
100494-4,Progress note
10049-5,S wave duration.lead I
100495-1,Progress note
100496-9,Progress note
100497-7,Progress note
100498-5,Progress note
100499-3,Progress note
100500-8,Progress note
100501-6,Progress note
100502-4,Progress note
10050-3,S wave duration.lead II
100503-2,Progress note
100504-0,Progress note
100505-7,Progress note
100506-5,Progress note
100507-3,Progress note
100508-1,Progress note
100509-9,Progress note
100510-7,Progress note
10051-1,S wave duration.lead III
100511-5,Progress note
100512-3,Progress note
100513-1,Progress note
100514-9,Progress note
100515-6,Progress note
100516-4,Progress note
100517-2,Progress note
100518-0,Progress note
100519-8,Progress note
100520-6,Progress note
100521-4,Progress note
100522-2,Progress note
100523-0,Progress note
100524-8,Progress note
100525-5,Progress note
100526-3,Progress note
100527-1,Progress note
100528-9,Progress note
10052-9,S wave duration.lead V1
100529-7,Progress note
100530-5,Progress note
100531-3,Progress note
100532-1,Progress note
100533-9,Progress note
100534-7,Progress note
100535-4,Progress note
100536-2,Progress note
10053-7,S wave duration.lead V2
100537-0,Progress note
100538-8,Progress note
100539-6,Progress note
100540-4,Progress note
100541-2,Progress note
100542-0,Progress note
100543-8,Progress note
100544-6,Progress note
10054-5,S wave duration.lead V3
100545-3,Progress note
100546-1,Progress note
100547-9,Progress note
100548-7,Progress note
100549-5,Progress note
100550-3,Progress note
100551-1,Progress note
10055-2,S wave duration.lead V4
100552-9,Progress note
100553-7,Progress note
100554-5,Progress note
100555-2,Progress note
100556-0,Progress note
100557-8,Progress note
100558-6,Progress note
100559-4,Progress note
10056-0,S wave duration.lead V5
100560-2,Progress note
100561-0,Progress note
100562-8,Progress note
100563-6,Progress note
100564-4,Progress note
100565-1,Progress note
100566-9,Progress note
100567-7,Progress note
100568-5,Progress note
100569-3,Progress note
100570-1,Progress note
100571-9,Progress note
100572-7,Progress note
100573-5,Progress note
100574-3,Progress note
100575-0,Progress note
100576-8,Progress note
100577-6,Progress note
10057-8,S wave duration.lead V6
100578-4,Progress note
100579-2,Progress note
1005-8,Indirect antiglobulin test.IgG specific reagent
100580-0,Progress note
100581-8,Progress note
100582-6,Progress note
100583-4,Progress note
100584-2,Progress note
100585-9,Progress note
10058-6,S' wave amplitude.lead AVF
100586-7,Progress note
100587-5,Progress note
100588-3,Progress note
100589-1,Mechanical circulatory support+progress note
100590-9,Progress note
100591-7,Progress note
100592-5,Progress note
100593-3,Progress note
10059-4,S' wave amplitude.lead AVL
100594-1,Progress note
100595-8,Progress note
100596-6,Progress note
100597-4,Progress note
100598-2,Progress note
100599-0,Progress note
100600-6,Progress note
100601-4,Progress note
10060-2,S' wave amplitude.lead AVR
100602-2,Progress note
100603-0,Progress note
100604-8,Progress note
100605-5,Progress note
100606-3,Progress note
100607-1,Progress note
100608-9,Progress note
100609-7,Progress note
10061-0,S' wave amplitude.lead I
100610-5,Progress note
100611-3,Progress note
100612-1,Progress note
100613-9,Progress note
100614-7,Progress note
100615-4,Progress note
100616-2,Progress note
100617-0,Progress note
100618-8,Progress note
100619-6,Progress note
100620-4,Progress note
100621-2,Progress note
100622-0,Progress note
100623-8,Progress note
100624-6,Progress note
100625-3,Progress note
100626-1,Progress note
100627-9,Progress note
10062-8,S' wave amplitude.lead II
100628-7,Progress note
100629-5,Progress note
100630-3,Progress note
100631-1,Progress note
100632-9,Progress note
100633-7,Progress note
100634-5,Progress note
100635-2,Progress note
10063-6,S' wave amplitude.lead III
100636-0,Progress note
100637-8,Progress note
100638-6,Progress note
100639-4,Progress note
100640-2,Progress note
100641-0,Progress note
100642-8,Progress note
100643-6,Progress note
10064-4,S' wave amplitude.lead V1
100644-4,Progress note
100645-1,Progress note
100646-9,Progress note
100647-7,Progress note
100648-5,Progress note
100649-3,Progress note
100650-1,Progress note
10065-1,S' wave amplitude.lead V2
100651-9,COVID-19+Intubation+Progress note
100652-7,Pure tone bone conduction threshold audiometry panel
100653-5,Pure tone air conduction threshold audiometry panel
100654-3,Pyruvate kinase M2
100655-0,View lateral
100656-8,Progress note
100657-6,Progress note
100658-4,COVID-19+Progress note
100659-2,Progress note
1006-6,Direct antiglobulin test.IgG specific reagent
100660-0,Progress note
100661-8,Progress note
100662-6,Cortisol free & total panel
100663-4,TPMT gene c.460G>A&c.719A>G
100664-2,NUDT15 gene c.50_55dup&c.415C>T
100665-9,NUDT15 gene c.415C>T
100666-7,NUDT15 gene c.416G>A
100667-5,NUDT15 gene c.52G>A
100668-3,NUDT15 gene c.50_55dup
10066-9,S' wave amplitude.lead V3
100669-1,NUDT15 gene c.50_55del
100670-9,RHD gene allele^fetus
100671-7,Aspergillus sp DNA
100672-5,Aspergillus fumigatus DNA
100673-3,Aspergillus terreus DNA
100674-1,BK virus DNA
100675-8,Cytomegalovirus DNA
100676-6,Cytomegalovirus DNA
10067-7,S' wave amplitude.lead V4
100677-4,Epstein Barr virus DNA
100678-2,Epstein Barr virus DNA
100679-0,Herpes virus 6 DNA
100680-8,Herpes virus 6 DNA
100681-6,Herpes virus 7 DNA
100682-4,Herpes virus 7 DNA
100683-2,Herpes virus 8 DNA
100684-0,Herpes virus 8 DNA
10068-5,S' wave amplitude.lead V5
100685-7,JC virus DNA
100686-5,JC virus DNA
100687-3,JC virus DNA
100688-1,Parvovirus B19 DNA
100689-9,Toxoplasma gondii DNA
100690-7,Toxoplasma gondii DNA
100691-5,Varicella zoster virus DNA
100692-3,Varicella zoster virus DNA
10069-3,S' wave amplitude.lead V6
100693-1,Pneumocystis jiroveci DNA
100694-9,SMN1 gene silent carrier analysis
100695-6,Genetic disease analysis overall carrier interpretation
100696-4,CTNS related multigene analysis
100697-2,Note
100698-0,Social Determinants of Health screening report
100699-8,Rifabutin+Ethambutol
100700-4,Trichomonas vaginalis DNA
10070-1,S' wave duration.lead AVF
100701-2,Trichomonas vaginalis rRNA
100702-0,Mycoplasma genitalium rRNA
100703-8,Mycoplasma genitalium rRNA
100704-6,Mycoplasma genitalium rRNA
100705-3,Mycoplasma genitalium rRNA
100706-1,Mycoplasma genitalium rRNA
100707-9,Polymorphonuclear cells
100708-7,Plasma cells/100 leukocytes
100709-5,Hepatocellular carcinoma risk
100710-3,Chlamydia trachomatis & Neisseria gonorrhoeae rRNA panel
100711-1,Borrelia burgdorferi.VlsE1+pepC10 Ab
100712-9,Brexpiprazole
100713-7,Cariprazine
100714-5,Guanfacine
100715-2,Prothipendyl
100716-0,Prostate Specific Ag
100717-8,FCGR3A gene.p.Phe176Val
100718-6,Discharge summary note
10071-9,S' wave duration.lead AVL
100719-4,Discharge summary note
100720-2,Discharge summary note
100721-0,Discharge summary note
100722-8,Discharge summary note
100723-6,Discharge summary note
100724-4,Discharge summary note
100725-1,Discharge summary note
100726-9,Discharge summary note
10072-7,S' wave duration.lead AVR
100727-7,Discharge summary note
100728-5,Discharge summary note
100729-3,Discharge summary note
100730-1,Discharge summary note
100731-9,Discharge summary note
100732-7,Cholesterol.in lipoprotein (little a) & Cholesterol.in LDL panel
100733-5,Cholesterol.in LDL^corrected for Cholesterol.in lipoprotein (little a)
100734-3,traMADol & metabolites panel
10073-5,S' wave duration.lead I
100735-0,Mannose-6-phosphate isomerase & phosphomannomutase 1 panel
100736-8,Acylcarnitine Analysis Post Mortem
100737-6,Alkaline phosphatase.macromolecular
100738-4,Alanine aminotransferase.macromolecular
100739-2,Aspartate aminotransferase.macromolecular
1007-4,Direct antiglobulin test.polyspecific reagent
100740-0,Amylase.macromolecular
100741-8,Gamma glutamyl transferase.macromolecular
100742-6,Lactate dehydrogenase.macromolecular
10074-3,S' wave duration.lead II
100743-4,Lipase.macromolecular
100744-2,Alpha-1-Acid glycoprotein
100745-9,Chloride
